25/04/20 16:46:07.436 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:07.436 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:08.469 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:08.469 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:09.501 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:09.502 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:10.538 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:10.538 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:11.574 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:11.575 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:12.615 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:12.615 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:13.651 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:13.651 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:14.690 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:14.690 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:15.733 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:15.733 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:16.774 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:16.775 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:17.807 [1995847840] DEBUG parScreenLog - Missing parts 1
25/04/20 16:46:17.807 [1995847840] TRACE parScreenLog - part: [0, 2111879
25/04/20 16:46:23.631 [1995847840] INFO  parScreenLog - Starting playback of playlist from subdir default
25/04/20 16:46:23.673 [1995847840] INFO  parScreenLog - Queuing playback of next item: /home/pi/par/par_screen/resources/default/IM_2916_burned.png
25/04/20 16:46:23.673 [1995847840] ERROR parScreenLog - Unknown file type: /home/pi/par/par_screen/resources/default/IM_2916_burned.png
25/04/20 16:46:23.673 [1995847840] INFO  parScreenLog - Queuing playback of next item: /home/pi/par/par_screen/resources/default/IMG_2916_burned.png
25/04/20 16:46:23.673 [1995847840] ERROR parScreenLog - Unknown file type: /home/pi/par/par_screen/resources/default/IMG_2916_burned.png
25/04/20 16:46:23.673 [1995847840] INFO  parScreenLog - Reached the end of playlist
25/04/20 16:46:23.674 [1995847840] INFO  parScreenLog - Showing default image
25/04/20 16:46:23.674 [1995847840] DEBUG parScreenLog - default image size = 32x32
25/04/20 16:46:23.674 [1995847840] TRACE parScreenLog - Default image preparation time = 847129
25/04/20 16:46:23.674 [1995847840] DEBUG parScreenLog - default image size = 32x32
25/04/20 16:46:23.677 [1995847840] DEBUG parScreenLog - Default image draw time = 2447689 32x32
25/04/20 16:46:24.725 [1995847840] INFO  parScreenLog - Starting playback of next item
